timestamp,open,high,low,close,volume
2019-11-15,157.7900,161.2900,157.4400,161.2400,578984
2019-11-14,157.9500,157.9700,155.0200,156.8300,869576
2019-11-13,155.3100,158.8800,153.7600,158.5800,1370900
2019-11-12,157.9500,160.4100,154.3100,156.1400,4357300
2019-11-11,166.7200,171.4300,165.9500,168.8200,1805500
2019-11-08,170.3600,170.7000,165.8000,167.4000,1243000
2019-11-07,170.4500,171.3600,168.8300,169.2800,669100
2019-11-06,168.1400,169.9500,166.4300,169.7000,866300
2019-11-05,167.6700,170.8700,166.5100,168.1400,1222500
2019-11-04,165.8400,167.3700,164.5900,166.6100,708700
2019-11-01,163.0100,166.3300,162.4600,164.8200,677800
2019-10-31,163.8400,164.1700,161.0600,162.4800,826600
2019-10-30,163.9900,165.5500,162.8000,163.9700,721600
2019-10-29,166.2700,166.9200,163.9900,164.3500,657500
2019-10-28,165.9600,167.9700,165.2300,166.4100,978800
2019-10-25,166.5000,169.6900,165.3400,165.5600,643100
2019-10-24,168.4400,170.5500,166.3000,166.8100,1070100
2019-10-23,165.2500,166.6800,163.2600,165.1200,701000
2019-10-22,166.4000,167.2500,164.1300,165.9800,575300
2019-10-21,164.5300,166.3500,163.9900,166.0300,663300
2019-10-18,163.5200,164.7400,160.7200,163.5000,642900
2019-10-17,162.5000,164.7100,161.2500,163.7500,730800
2019-10-16,159.2100,164.3400,159.2000,162.7500,870600
2019-10-15,158.7400,161.2400,157.1500,159.7300,620300
2019-10-14,158.1400,159.2300,157.0900,157.3200,430100
2019-10-11,157.5100,160.0000,157.4000,158.5600,691600
2019-10-10,154.6000,156.4200,153.8200,155.9500,731400
2019-10-09,154.6100,155.3800,153.2500,154.4100,641600
2019-10-08,156.6000,156.8900,153.2500,154.3300,913200
2019-10-07,159.0900,160.3700,157.1000,158.2700,1206600
2019-10-04,159.5400,160.6100,157.2000,159.9400,749000
2019-10-03,162.6000,162.7900,158.2600,159.8600,918100
2019-10-02,166.2700,166.8700,161.9500,162.9600,975400
2019-10-01,165.5900,167.6400,163.9400,167.2900,1086300
2019-09-30,161.6400,165.9700,161.4600,165.4000,982800
2019-09-27,161.1300,162.4200,160.4500,161.6800,531900
2019-09-26,162.0700,162.0700,158.5000,160.3800,727500
2019-09-25,159.2200,162.6700,158.8800,162.2800,789300
