timestamp,open,high,low,close,volume
2019-11-15,140.5500,145.2856,139.9800,144.2700,777964
2019-11-14,141.7100,142.5200,140.5400,141.1900,446700
2019-11-13,140.0600,141.9600,139.8400,141.5600,536900
2019-11-12,139.0600,140.9200,138.5400,140.5700,618200
2019-11-11,140.3000,141.5700,139.1100,139.2400,348400
2019-11-08,139.7400,141.5600,139.7000,141.1300,395200
2019-11-07,140.9600,141.8300,139.2600,139.6700,323900
2019-11-06,140.1300,140.3300,138.7800,139.9200,562400
2019-11-05,140.3600,141.3000,139.5100,139.8600,836100
2019-11-04,139.1300,140.0000,138.5100,139.5300,388600
2019-11-01,138.5300,139.9000,138.2400,138.7500,530300
2019-10-31,139.0500,139.1900,136.4600,137.4600,685400
2019-10-30,138.2700,139.2700,135.8700,139.0700,769600
2019-10-29,138.9000,139.9800,138.1700,138.8100,837700
2019-10-28,137.7000,140.1500,137.6000,138.0800,744600
2019-10-25,137.9500,142.7000,130.7900,137.9300,1407900
2019-10-24,145.1800,145.2600,143.2300,144.7000,928300
2019-10-23,146.5800,146.9600,144.0600,144.5600,645500
2019-10-22,145.9200,147.5000,145.2200,146.3800,433600
2019-10-21,146.6900,146.9800,145.3100,145.3200,563000
2019-10-18,145.3200,146.2800,143.5100,146.0900,606900
2019-10-17,145.3100,146.7000,144.9100,146.3000,652000
2019-10-16,145.4500,147.3200,144.3300,144.7200,559800
2019-10-15,144.8200,146.3200,144.7700,145.2500,715100
2019-10-14,145.5500,145.8700,143.9600,143.9900,339100
2019-10-11,146.6900,149.0200,146.0700,146.1300,356800
2019-10-10,144.8300,146.3900,144.4400,145.8300,383300
2019-10-09,144.1800,145.5900,143.9300,145.1200,364500
2019-10-08,144.3900,144.7000,142.7200,143.2000,715100
2019-10-07,145.8100,146.5700,144.7000,145.0700,710200
2019-10-04,146.1000,146.8400,144.3500,146.1300,563100
2019-10-03,146.1100,146.6400,144.7400,145.3700,695900
2019-10-02,146.2400,147.0200,145.1200,146.2300,586600
2019-10-01,148.4600,151.1800,146.4500,147.1100,491500
2019-09-30,147.0600,149.5100,146.8900,148.7500,608500
2019-09-27,147.2700,148.2700,146.3200,146.8300,519000
2019-09-26,147.8300,148.3800,145.7900,146.5600,990800
2019-09-25,148.4500,149.1600,146.9000,147.3500,982400
2019-09-24,150.2700,150.2900,147.4700,148.4500,864100
2019-09-23,149.2500,150.8400,148.6800,149.9700,579900
2019-09-20,150.4600,151.6600,149.2300,150.1200,1117900
2019-09-19,151.8200,153.2700,149.9600,150.0100,768900
2019-09-18,151.7400,153.3800,150.3600,151.9900,676000
2019-09-17,153.6400,153.6400,150.3500,151.8700,800000
2019-09-16,151.6400,154.1100,151.0500,153.8900,640500
2019-09-13,153.6600,156.9300,151.6900,152.5200,676100
2019-09-12,155.5000,156.0900,152.6400,152.9600,848900
2019-09-11,154.5900,157.0600,153.3700,155.1100,1194000
2019-09-10,149.4600,155.6400,149.2100,155.3700,1320800
2019-09-09,148.3200,150.4800,146.6500,149.5200,758800
2019-09-06,145.8400,148.6000,144.9900,148.2600,692400
2019-09-05,148.0000,148.4200,144.7400,145.1400,884600
2019-09-04,147.1700,147.8500,145.0400,146.2600,348200
2019-09-03,143.6100,146.0400,143.3200,145.9100,477000
2019-08-30,145.2100,145.3000,143.8200,144.5800,592500
2019-08-29,143.7600,145.5800,142.9900,144.2400,609600
2019-08-28,140.0200,142.6200,139.8800,142.6000,571500
2019-08-27,144.8900,145.0000,140.6300,140.6800,511300
2019-08-26,144.4800,144.8100,142.5000,144.2300,469100
2019-08-23,145.2000,147.1000,142.7400,143.4800,595600
2019-08-22,147.1700,147.8800,145.9000,145.9500,422900
2019-08-21,146.7600,147.3200,145.2500,147.1400,456600
2019-08-20,147.5300,147.9900,145.4800,145.6400,657300
2019-08-19,148.8200,149.1200,147.1500,148.2000,337900
2019-08-16,145.9700,148.0700,145.2200,147.3500,494900
2019-08-15,146.0100,146.6300,145.2200,145.3700,419600
2019-08-14,147.4800,147.5200,144.3900,145.8300,586600
2019-08-13,147.1300,150.2300,146.2300,148.9700,521000
2019-08-12,147.0100,147.3800,145.2400,146.6900,436700
2019-08-09,146.4900,147.6699,145.5450,146.9400,379100
2019-08-08,146.8200,147.6900,145.3600,146.4600,509200
2019-08-07,146.0500,147.1500,143.8200,146.1400,749700
2019-08-06,144.3568,146.5900,143.0000,146.3900,784300
2019-08-05,145.0400,145.9600,142.3300,143.3400,681200
2019-08-02,146.7000,147.4000,145.5500,146.4500,818200
2019-08-01,151.1000,151.9800,145.4800,147.1600,876300
2019-07-31,152.7800,153.2400,149.0300,150.8600,803300
2019-07-30,150.0200,153.1800,146.8500,152.8700,934500
2019-07-29,149.7200,153.4900,146.1900,152.6500,1349000
2019-07-26,145.6000,157.7900,145.6000,151.8900,2955300
2019-07-25,136.7600,137.5300,135.4800,136.9700,932600
2019-07-24,133.8400,137.3000,132.5300,137.0000,1021700
2019-07-23,132.7300,133.7600,131.1900,133.7100,363000
2019-07-22,132.6500,133.6500,132.1900,132.6700,401300
2019-07-19,133.2100,133.2100,131.9100,132.6300,489900
2019-07-18,132.8800,133.6600,131.4700,133.1800,396900
2019-07-17,133.7300,134.0300,132.6800,132.8800,348800
2019-07-16,133.9900,134.5000,133.4200,133.9700,435600
2019-07-15,132.9000,134.1200,131.9500,133.7600,447200
2019-07-12,130.8800,133.1900,130.2900,132.9000,404400
2019-07-11,131.1200,132.5900,129.5100,131.2400,358300
2019-07-10,128.9200,130.4300,128.3900,129.6600,326700
2019-07-09,130.8300,132.0900,127.7500,128.8900,554100
2019-07-08,131.2300,131.7900,130.1900,131.7100,477100
2019-07-05,130.5100,131.6000,129.9500,131.3800,317700
2019-07-03,129.9900,131.1900,129.2600,131.0900,341400
2019-07-02,130.3000,130.7100,129.0628,130.0000,497000
2019-07-01,131.1700,131.7200,128.7000,130.0700,643700
2019-06-28,128.3600,130.3900,127.4000,130.3900,1064100
2019-06-27,127.6700,128.3600,126.8300,128.1500,431700
2019-06-26,128.8700,129.5400,126.1000,127.0700,515800
2019-06-25,126.5900,129.5500,126.1550,128.6400,723200
2019-06-24,125.5200,126.5500,124.5000,126.4500,570900
2019-06-21,124.3697,125.5400,122.9900,125.3100,801200
2019-06-20,125.8100,126.6200,122.8100,124.3600,873500
2019-06-19,124.1800,125.4250,122.8100,125.2800,361100
2019-06-18,123.7800,125.1300,122.7100,123.9300,489800
2019-06-17,123.3400,123.5100,122.1800,123.4200,513900
2019-06-14,124.0400,124.5700,122.7400,122.7500,496700
2019-06-13,123.7900,124.4400,122.7700,123.9500,338900
2019-06-12,122.9700,123.9600,121.7250,123.9100,495300
2019-06-11,124.1700,124.1700,121.4750,123.0000,496600
2019-06-10,124.3500,125.0500,123.5600,123.5800,498300
2019-06-07,121.5100,123.8200,120.9400,123.7100,867500
2019-06-06,121.5100,122.2400,120.8000,121.1100,1254300
2019-06-05,123.1900,123.1877,120.3300,121.4100,862800
2019-06-04,122.5500,124.2500,121.9200,122.4100,770900
2019-06-03,119.5500,121.7900,119.1500,121.4600,687600
